Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,USG%,TS%,PTS_per_TSA,FT_rate,3P_rate,AST_TO,TOV%,TRB%_approx,STL_per_min,BLK_per_min,STL%,BLK%,Raw_EFF,PF_per_min,Load,Creation_proxy,PTS_log,AST_log,TRB_log,STL_log,BLK_log,TOV_log
Abdel Nader,27.0,24.0,0.0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3.0,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,2021,42.29726871806167,0.6135519898315205,1.227103979663041,0.3124993489596897,0.37499921875162767,0.9999875001562482,12.779532301066613,17.567555697597502,0.02702700876553462,0.02702700876553462,2.702700876553462,2.702700876553462,0.4999996621623905,0.09459453067937115,7.06,0.49500000000000005,2.0412203288596382,0.5877866649021191,1.2809338454620642,0.33647223662121295,0.33647223662121295,0.5877866649021191
Abdel Nader,28.0,14.0,0.0,10.4,0.9,2.5,0.343,0.3,1.0,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,2022,34.692274334351595,0.4273489054526159,0.8546978109052318,0.27999888000448,0.39999840000639997,0.6249921875976551,22.172887547429195,18.269213202679612,0.05769225221898825,0.028846126109494125,5.769225221898825,2.8846126109494126,0.28846126109494125,0.13461525517763925,4.108,0.22,1.2237754316221157,0.4054651081081644,1.0647107369924282,0.4700036292457355,0.26236426446749106,0.5877866649021191
Adam Flagler,24.0,2.0,0.0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.5,0.0,0.214,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,2024,49.99992857153062,0.2142851020425656,0.4285702040851312,0.0,0.8571404081702624,199999.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.07142846938790087,0.0,5.5,0.47500000000000003,0.9162907318741551,1.0986122886681098,0.0,0.0,0.0,0.0
Adam Mokoka,22.0,14.0,0.0,4.0,0.5,1.4,0.368,0.1,0.7,0.1,0.4,0.6,0.667,0.395,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.4,0.4,1.1,2021,46.099884750288126,0.3808837888934287,0.7617675777868574,0.0714280612281341,0.49999642859693855,0.9999750006249843,21.691856334835496,9.9999750000625,0.024999937500156253,0.024999937500156253,2.499993750015625,2.499993750015625,0.17499956250109377,0.09999975000062501,2.2439999999999998,0.135,0.7419373447293773,0.33647223662121295,0.33647223662121295,0.09531017980432487,0.09531017980432487,0.33647223662121295
Adama Sanogo,21.0,9.0,0.0,7.3,1.6,3.0,0.519,0.0,0.0,,1.6,3.0,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0,2024,57.1506066430046,0.5599088468397345,1.119817693679469,0.4333318888937037,0.0,0.0,14.381557091186265,54.79444548706098,0.013698611371765246,0.0,1.3698611371765246,0.0,0.7808208481906189,0.08219166823059147,4.172,0.2,1.6094379124341003,0.0,1.6094379124341003,0.09531017980432487,0.0,0.4700036292457355
Ade Murkey,24.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,25.0,37.0,0.0,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.549,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2,2023,32.491776646084716,0.5892239359597756,1.1784478719195512,0.18181763085566408,0.6060587695188803,1.9999500012499687,10.090791900121342,13.934414807856717,0.016393429185713786,0.008196714592856893,1.6393429185713784,0.8196714592856892,0.3934423004571308,0.13114743348571029,4.764,0.37000000000000005,1.6486586255873816,0.5877866649021191,0.9932517730102833,0.18232155679395465,0.09531017980432487,0.33647223662121295
Admiral Schofield,26.0,23.0,0.0,3.7,0.4,1.1,0.385,0.3,0.7,0.375,0.2,0.4,0.4,0.5,0.0,0.1,0.0,0.1,0.6,0.7,0.3,0.0,0.0,0.2,0.4,1.1,2024,36.32422615074013,0.4807650282777248,0.9615300565554497,0.09090826447032299,0.6363578512922609,1.4999250037498122,14.880841660404311,18.91886778684382,0.0,0.0,0.0,0.0,0.29729649379325995,0.10810781592482183,1.6440000000000001,0.115,0.7419373447293773,0.26236426446749106,0.5306282510621704,0.0,0.0,0.18232155679395465
Admiral Schofield,24.0,38.0,1.0,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,2022,33.95119190960008,0.531318424724763,1.062636849449526,0.11764671280378587,0.6176452422198758,1.166647222546291,14.367781686346538,18.699171789291224,0.008130074690996187,0.008130074690996187,0.8130074690996186,0.8130074690996186,0.34959321171283597,0.1219511203649428,4.8759999999999994,0.32999999999999996,1.5686159179138452,0.5306282510621704,1.1939224684724346,0.09531017980432487,0.09531017980432487,0.4700036292457355
Ahmad Caver,25.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2022,99.99900000999989,0.9999900000999989,1.9999800001999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999800001999979,0.0,1.0,0.1,1.0986122886681098,0.0,0.0,0.0,0.0,0.0
Al Horford,35.0,69.0,69.0,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,2022,33.38830467755852,0.5784929917275503,1.1569859834551006,0.17073149910792793,0.463414069007233,3.777735802935523,9.263061688903163,26.46047200671065,0.024054974551555135,0.04467352416717382,2.4054974551555137,4.467352416717382,0.6151200635326243,0.0652920737827925,13.116,1.19,2.4159137783010487,1.4816045409242156,2.1633230256605382,0.5306282510621704,0.832909122935104,0.6418538861723948
Al Horford,34.0,28.0,28.0,27.9,5.8,12.9,0.45,2.0,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,2021,51.082418966874926,0.5357677816421811,1.0715355632843622,0.06201545580197225,0.4186043266633127,3.399966000339996,7.016554156220772,24.014328310276593,0.03225805295410289,0.03225805295410289,3.2258052954102885,3.2258052954102885,0.6379926028700347,0.06093187780219434,17.652,1.3900000000000001,2.7212954278522306,1.4816045409242156,2.0412203288596382,0.6418538861723948,0.6418538861723948,0.6931471805599453
Al Horford,36.0,63.0,63.0,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,2023,27.31802383015612,0.6337291338216067,1.2674582676432133,0.03947363227153649,0.6842096260399658,4.999916668055533,7.201143541594407,20.327862187586167,0.016393437248053363,0.032786874496106726,1.6393437248053362,3.2786874496106724,0.5180326170384862,0.062295061542602774,11.331999999999999,1.09,2.379546134130174,1.3862943611198906,1.9740810260220096,0.4054651081081644,0.6931471805599453,0.4700036292457355
Al Horford,37.0,65.0,33.0,26.8,3.3,6.4,0.511,1.7,4.0,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1.0,0.7,1.4,8.6,2024,27.313422644245282,0.6495458466074825,1.299091693214965,0.07812487792987824,0.6249990234390259,3.7142326538192316,9.562828466081331,23.88058810425817,0.022388051347742032,0.03731341891290339,2.2388051347742035,3.731341891290339,0.5708953093674219,0.05223878647806474,9.92,0.95,2.2617630984737906,1.2809338454620642,2.0014800002101243,0.4700036292457355,0.6931471805599453,0.5306282510621704
Al-Farouq Aminu,30.0,23.0,14.0,18.9,1.7,4.3,0.384,0.3,1.6,0.216,1.3,2.7,0.484,0.424,0.8,1.0,0.818,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4,2021,31.428554799706458,0.46413404191130403,0.9282680838226081,0.23255759870325887,0.3720921579252142,1.0833243056307864,20.20198619194244,25.396811959358754,0.04232801993226459,0.021164009966132297,4.232801993226459,2.1164009966132293,0.4074071918480468,0.06878303238992996,7.24,0.48000000000000004,1.6863989535702288,0.832909122935104,1.7578579175523736,0.5877866649021191,0.33647223662121295,0.7884573603642702
Alec Burks,31.0,51.0,8.0,22.0,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,0.544,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,2023,53.30906667769696,0.6021823464599676,1.2043646929199352,0.41111065432149524,0.5222216419759534,1.9999818183471059,9.379255304182042,14.090902685953324,0.03181816735537847,0.009090904958679565,3.1818167355378475,0.9090904958679564,0.5499997500001136,0.08636359710745586,13.927999999999999,1.08,2.624668592163159,1.1631508098056809,1.410986973710262,0.5306282510621704,0.18232155679395465,0.7419373447293773
Alec Burks,30.0,81.0,44.0,28.6,3.5,9.0,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7,2022,40.39159426867333,0.5597009570407988,1.1194019140815976,0.3666662592597119,0.5333327407413991,2.7272479341096894,9.52215242195947,17.132861142356244,0.034965022739502534,0.01048950682185076,3.4965022739502536,1.048950682185076,0.47902081153118486,0.09440556139665686,14.552,1.185,2.5416019934645457,1.3862943611198906,1.7749523509116738,0.6931471805599453,0.26236426446749106,0.7419373447293773
Alec Burks,29.0,49.0,5.0,25.6,4.3,10.2,0.42,2.1,5.0,0.415,2.2,5.2,0.425,0.522,2.1,2.4,0.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7,2021,47.87498129883542,0.5641430666817104,1.1282861333634209,0.2352938869667775,0.49019559784745315,2.199978000219998,8.159262272142403,17.96874298095977,0.02343749084473014,0.01171874542236507,2.3437490844730138,1.1718745422365069,0.515624798584063,0.08203121795655549,14.456,1.0750000000000002,2.617395832834079,1.1631508098056809,1.7227665977411035,0.4700036292457355,0.26236426446749106,0.6931471805599453
Alec Burks,32.0,66.0,1.0,18.4,3.2,8.6,0.369,1.9,5.0,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4,2024,56.52170841211499,0.5360819215650294,1.0721638431300589,0.2906973363984461,0.5813946727968922,1.8571163269096158,6.730762758881964,12.499993206525431,0.021739118620044233,0.010869559310022116,2.173911862004423,1.0869559310022114,0.44565193171090667,0.05978257620512164,11.7,0.78,2.4336133554004498,0.832909122935104,1.1939224684724346,0.33647223662121295,0.18232155679395465,0.5306282510621704
Aleem Ford,24.0,5.0,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,2022,32.43241051864154,0.3499991250021875,0.699998250004375,0.0,0.7499981250046875,0.4999937500781241,16.666631944516784,20.270256574150963,0.01351350438276731,0.0,1.351350438276731,0.0,0.18918906135874236,0.09459453067937115,5.2,0.22,1.33500106673234,0.33647223662121295,1.3862943611198906,0.18232155679395465,0.0,0.5877866649021191
Aleksej Pokusevski,21.0,34.0,25.0,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,2023,43.883473842973864,0.5232551379132585,1.046510275826517,0.13698611371765246,0.42465695252472263,1.461527219021392,14.380515065801918,22.815522905085967,0.029126199453301235,0.06310676548215267,2.9126199453301234,6.310676548215268,0.5242715901594223,0.0825242317843535,10.940000000000001,0.785,2.2082744135228043,1.0647107369924282,1.7404661748405046,0.4700036292457355,0.832909122935104,0.832909122935104
Aleksej Pokusevski,20.0,61.0,12.0,20.2,3.0,7.5,0.408,0.9,3.2,0.289,2.1,4.2,0.498,0.47,0.6,0.8,0.7,1.2,4.0,5.2,2.1,0.6,0.6,1.5,1.4,7.6,2022,46.29700678366001,0.48395251661676436,0.9679050332335287,0.10666652444463408,0.4266660977785363,1.3999906667288884,16.039332720987254,25.74256151358341,0.029702955592596243,0.029702955592596243,2.970295559259624,2.970295559259624,0.49009876727783813,0.06930689638272457,11.452,0.8,2.151762203259462,1.1314021114911006,1.824549292051046,0.4700036292457355,0.4700036292457355,0.9162907318741551
Aleksej Pokusevski,19.0,45.0,28.0,24.2,3.1,9.1,0.341,1.3,4.6,0.28,1.8,4.5,0.403,0.412,0.7,0.9,0.738,0.7,4.0,4.7,2.2,0.4,0.9,2.2,1.3,8.2,2021,48.33055854109152,0.4317602866888303,0.8635205733776606,0.09890099021869207,0.5054939500066483,0.9999954545661156,18.809833438924898,19.421479577901003,0.01652891878970298,0.037190067276831704,1.652891878970298,3.7190067276831704,0.3305783757940596,0.05371898606653469,13.896,0.8500000000000001,2.2192034840549946,1.1631508098056809,1.7404661748405046,0.33647223662121295,0.6418538861723948,1.1631508098056809
