,Player,Actual_PTS,Predicted_PTS,Actual_AST
1538,Jahmi'us Ramsey,6.7,9.097427,1.1
1542,Jaime Jaquez Jr.,11.9,9.483398,2.6
1544,Jake LaRavia,10.8,9.406098,1.7
1562,Jalen Brunson,28.7,11.00524,6.7
1565,Jalen Duren,13.8,9.783893,2.4
1567,Jalen Green,19.6,10.219343,3.5
1570,Jalen Hood-Schifino,1.6,8.547541,0.4
1572,Jalen Johnson,16.0,9.838853,3.6
1581,Jalen McDaniels,3.4,8.717085,0.7
1583,Jalen Pickett,1.6,8.547541,0.8
1588,Jalen Smith,9.9,9.25159,1.0
1589,Jalen Suggs,12.6,9.583531,2.7
1592,Jalen Williams,19.1,10.319474,4.5
1594,Jalen Wilson,5.0,8.859558,1.0
1595,Jamal Cain,3.7,8.717085,0.4
1603,Jamal Murray,21.2,10.319474,6.5
1613,James Bouknight,3.6,8.717085,0.4
1619,James Harden,16.6,9.740896,8.5
1626,James Johnson,0.9,8.547541,0.9
1637,James Wiseman,7.1,9.103209,0.9
1643,Jarace Walker,3.6,8.774684,1.2
1645,Jared Butler,6.3,9.01726,3.2
1654,Jared Rhoden,4.9,8.891973,0.8
1663,Jaren Jackson Jr.,22.5,10.579048,2.3
1672,Jarred Vanderbilt,5.2,8.894864,1.2
1678,Jarrett Allen,16.5,10.014136,2.7
1696,Javon Freeman-Liberty,7.0,9.044101,1.8
1698,Javonte Green,12.2,9.536625,0.6
1707,Jaxson Hayes,4.3,8.852421,0.5
1713,Jay Huff,1.2,8.547541,0.1
1721,Jaylen Brown,23.0,11.00524,3.6
1733,Jaylen Nowell,6.2,9.059267,1.5
1738,Jaylin Williams,4.0,8.774684,1.6
1746,Jayson Tatum,26.9,11.00524,4.9
1747,Jeenathan Williams,2.9,8.689671,0.3
1749,Jeff Dowtin,4.3,8.825697,2.3
1758,Jeff Green,6.5,9.00417,0.9
1772,Jerami Grant,21.0,10.219343,2.8
1775,Jeremiah Robinson-Earl,2.9,8.689671,0.5
1788,Jeremy Sochan,11.6,9.557557,3.4
1795,Jermaine Samuels,1.4,8.547541,0.2
1796,Jerome Robinson,1.4,8.547541,0.2
1802,Jett Howard,1.6,8.547541,0.3
1805,Jevon Carter,5.0,8.891973,1.3
1810,Jimmy Butler,20.8,10.201596,5.0
1820,Jock Landale,4.9,8.889012,1.2
1829,Joe Harris,2.4,8.653312,0.6
1835,Joe Ingles,4.4,8.799495,3.0
1851,Joel Embiid,34.7,11.00524,5.6
1859,John Collins,15.1,9.783893,1.1
1872,John Konchar,4.3,8.806632,2.0
1884,Johnny Davis,3.0,8.689671,0.6
1886,Johnny Juzang,7.2,9.104329,1.2
1897,Jonas Valančiūnas,12.2,9.547547,2.1
1908,Jonathan Isaac,6.8,9.01726,0.5
1911,Jonathan Kuminga,16.1,10.014136,2.2
1915,Jontay Porter,4.4,8.806632,2.3
1926,Jordan Clarkson,17.1,10.145204,5.0
1931,Jordan Ford,2.0,8.572678,0.3
1932,Jordan Goodwin,6.5,9.037598,2.7
1936,Jordan Hawkins,7.8,9.104329,1.0
1941,Jordan McLaughlin,3.5,8.717085,2.0
1946,Jordan Miller,1.6,8.547541,0.0
1948,Jordan Nwora,7.0,9.095197,1.2
