Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Langston Galloway,30,2TM,SG,7,0,107,0.7,0.269,0.615,0,3.1,14.7,9,13.7,0.4,0,18.8,12.8,-0.3,0.1,-0.2,-0.1,-8,-1.8,-9.8,-0.2
Langston Galloway,30,BRK,SG,4,0,58,1.8,0.462,0.615,0,1.9,12.8,7.5,11,0,0,27.8,13.3,-0.1,0,-0.1,-0.072,-7.7,-2.8,-10.4,-0.1
Langston Galloway,30,MIL,SG,3,0,49,-0.6,0.077,0.615,0,4.4,17,10.8,16.9,1,0,7.1,12.2,-0.2,0,-0.1,-0.133,-8.5,-0.6,-9.1,-0.1
Louis King,22,SAC,SF,10,0,104,8.1,0.438,0.574,0.213,0,12.7,6.3,12.5,0.9,0.8,0,21.2,0,0,0,0,-3,-1.6,-4.6,-0.1
Chaundee Brown Jr.,23,2TM,SG,5,2,104,6.4,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0,2.8,14.9,0,0,0,0.002,-4.3,-2.4,-6.6,-0.1
Chaundee Brown Jr.,23,LAL,SF,2,0,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,-0.1,0,-0.1,-0.306,-11.6,-5,-16.6,-0.1
Chaundee Brown Jr.,23,ATL,SG,3,2,83,10.3,0.525,0.6,0.24,1.3,17,9.2,6.4,1.2,0,0,14.6,0.1,0,0.1,0.08,-2.4,-1.7,-4.1,0
Luke Kornet,26,3TM,C,15,0,103,16.6,0.506,0.185,0.222,14,16.4,15.2,12.4,1.4,2.6,0,12.7,0.2,0.2,0.4,0.194,-0.9,0.4,-0.5,0
Luke Kornet,26,CLE,C,2,0,15,8.7,0.316,0.2,0.6,15.1,7.2,11.1,8.8,0,5.9,0,18.6,0,0,0,0.008,-6.7,-3.2,-9.9,0
Luke Kornet,26,MIL,C,1,0,3,-5,0,0,0,36.1,0,17.7,0,0,0,0,14.2,0,0,0,-0.154,-14.2,-10.5,-24.7,0
Luke Kornet,26,BOS,C,12,0,85,18.8,0.582,0.19,0.143,13,18.6,15.9,13.5,1.8,2.1,0,11.6,0.3,0.2,0.4,0.239,0.6,1.4,2.1,0.1
Chris Silva,25,2TM,PF,10,0,91,11.6,0.641,0,0.8,16.5,28.2,22.4,10.6,0,1.2,28.3,13.8,0.1,0.1,0.3,0.137,-5,0.1,-4.9,-0.1
Chris Silva,25,MIN,PF,1,0,3,3.8,,,,0,36.6,17.9,0,0,0,,0,0,0,0,0.052,-5.3,-0.5,-5.8,0
Chris Silva,25,MIA,PF,9,0,88,11.9,0.641,0,0.8,17,27.9,22.6,10.9,0,1.2,28.3,14.3,0.1,0.1,0.3,0.14,-5,0.1,-4.9,-0.1
Tyler Johnson,29,2TM,PG,6,0,91,7.1,0.425,0.65,0,3.5,10.7,7.1,9.5,1.6,2.8,9.1,10.5,0,0.1,0.1,0.033,-3.9,0.8,-3,0
Tyler Johnson,29,PHI,PG,3,0,38,9.4,0.55,0.7,0,3,14.4,8.8,7.4,1.3,2.4,9.1,13,0,0,0.1,0.072,-2.4,0.5,-2,0
Tyler Johnson,29,SAS,PG,3,0,53,5.5,0.3,0.6,0,3.9,8,5.9,11,1.8,3.2,9.1,8.8,0,0,0,0.006,-4.9,1.1,-3.8,0
Devon Dotson,22,CHI,PG,11,0,85,9.8,0.538,0.391,0.391,1.3,10.5,6,23.9,0.6,0,15.6,16.6,0.1,0,0.1,0.048,-3.4,-1.5,-4.9,-0.1
Udonis Haslem,41,MIA,C,13,0,83,8.6,0.495,0.129,0.097,5.6,28.2,17.1,7.4,0.6,1.3,13.4,20,-0.1,0.1,0.1,0.033,-6.4,-0.7,-7.1,-0.1
Wes Iwundu,27,ATL,SF,3,1,82,7.1,0.557,0.278,0.222,4,13.3,8.7,0,0.6,0,4.8,11.1,0.1,0,0.1,0.046,-4.1,-2.7,-6.8,-0.1
Bol Bol,22,DEN,PF,14,0,81,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,0,0.1,0.1,0.065,-0.5,-0.4,-1,0
Carsen Edwards,23,DET,SG,4,0,79,5.5,0.378,0.533,0.033,2.6,5.8,4.1,26.2,1.2,0,14.1,19.2,-0.1,0,-0.1,-0.075,-6,-3.4,-9.3,-0.1
Ryan Arcidiacono,27,NYK,PG,10,0,76,6.1,0.667,0.75,0,0,11.5,5.7,7.5,0.7,0,20,8.6,0,0.1,0.1,0.052,-4.6,0,-4.6,-0.1
Tyrone Wallace,27,NOP,SG,6,0,75,2.5,0.383,0.4,0.25,0,12.1,5.9,1.8,2,1.3,8.3,13.9,-0.2,0.1,-0.1,-0.057,-7.7,-0.6,-8.2,-0.1
Isaiah Todd,20,WAS,PF,12,0,74,4.7,0.349,0.615,0.231,4.6,13.3,9,7.3,2.7,2.3,12.3,19.6,-0.2,0.1,-0.2,-0.104,-5.7,-1.2,-6.9,-0.1
Trevelin Queen,24,HOU,SG,10,0,74,18.2,0.619,0.727,0.121,10.3,13.4,11.9,8.8,3.2,1.2,16.8,23.9,0.1,0.1,0.1,0.08,2.7,-0.8,1.9,0.1
Aleem Ford,24,ORL,SF,5,0,74,0.5,0.35,0.75,0,2.8,18.6,10.7,3.8,0.7,0,16.7,14,-0.2,0.1,-0.2,-0.103,-9.1,-2.2,-11.4,-0.2
Quinndary Weatherspoon,25,GSW,SG,11,0,73,12,0.647,0.238,0.238,3.1,17.4,10.5,10.1,0.7,1.3,11.5,15.7,0.1,0.1,0.2,0.148,-4.5,0.1,-4.4,0
Yves Pons,22,MEM,SF,12,0,71,5.9,0.385,0.563,0.125,7.2,10.6,8.8,1.7,0.7,5,5.6,10.3,0,0.1,0,0.03,-4.9,-1.7,-6.6,-0.1
Rayjon Tucker,24,2TM,SG,5,0,71,17.7,0.869,0.556,0.778,4.7,7.5,6.1,18.1,2.7,0,7.6,7.9,0.3,0.1,0.4,0.243,2.3,1.2,3.5,0.1
Rayjon Tucker,24,DEN,SG,3,0,29,13.6,0.798,1,2,4,11.2,7.7,16.7,1.7,0,0,5.7,0.1,0,0.1,0.213,0.6,1.3,1.9,0
Rayjon Tucker,24,MIL,SG,2,0,42,20.5,0.901,0.429,0.429,5.2,4.9,5.1,19.1,3.4,0,10.7,9.5,0.2,0,0.2,0.264,3.5,1.1,4.6,0.1
Isaac Bonga,22,TOR,SF,15,0,69,8.7,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,-0.1,0.1,0.1,0.06,-5.4,5,-0.4,0
Brandon Knight,30,DAL,PG,5,0,65,13,0.561,0.68,0.32,0,13.7,6.8,18.6,0.8,0,12.3,22.5,0.1,0.1,0.1,0.091,-2.7,-1.9,-4.6,0
B.J. Johnson,26,ORL,SF,4,0,65,12.1,0.52,0.4,0,9.7,14.7,12.2,0,0,1.4,0,16.7,0.1,0,0.1,0.065,-0.7,-3.9,-4.7,0
Kai Jones,21,CHO,C,21,0,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1
RJ Nembhard Jr.,22,CLE,SG,14,0,63,8,0.38,0.111,0.222,5.4,6.9,6.1,26.1,0.8,0,13.2,16,0,0,0,0.01,-4.4,-1.5,-6,-0.1
Malik Fitts,24,2TM,PF,15,0,63,10.7,0.553,0.526,0,3.5,25.2,14.7,12.7,0,0,9.5,14.6,0.1,0.1,0.1,0.097,-0.6,-0.5,-1.1,0
Malik Fitts,24,UTA,PF,7,0,35,-1.6,0.333,0.444,0,0,30.3,15.6,0,0,0,18.2,13.7,-0.1,0,-0.1,-0.104,-7.9,-1.9,-9.8,-0.1
Malik Fitts,24,BOS,PF,8,0,28,26.1,0.75,0.6,0,7.9,18.8,13.5,28.6,0,0,0,15.7,0.2,0,0.2,0.348,8.6,1.2,9.8,0.1
Brodric Thomas,25,BOS,SG,12,0,60,10,0.52,0.5,0.278,3.7,14.1,9,26,0.8,1.5,22.9,19.2,0,0.1,0.1,0.052,-3.6,0.8,-2.8,0
Tacko Fall,26,CLE,C,11,1,59,11.3,0.398,0,0.583,13.4,29.4,21.6,4.6,0,9.1,16.6,13.6,-0.1,0.1,0.1,0.043,-4.1,0.8,-3.4,0
Sam Merrill,25,MEM,SG,6,0,58,7.5,0.485,0.958,0.167,1.8,11.1,6.3,9,0,0,7.2,19.6,0,0,0,0.029,-2.2,-3.4,-5.6,-0.1
Gabriel Deck,26,OKC,PF,7,0,56,11.5,0.643,0.286,0,1.8,9.3,5.5,13.7,0.9,0,12.5,12.3,0.1,0,0.1,0.08,-1.2,-1.3,-2.5,0
James Ennis III,31,3TM,SF,7,0,56,17.7,0.553,0.333,0.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22,0.1,0.1,0.1,0.114,-0.1,-1,-1.1,0
James Ennis III,31,BRK,SF,2,0,14,14.7,0.357,0.286,0,16,22.7,19.4,0,3.5,6.4,0,21.5,0,0,0,0.034,-0.5,-0.6,-1.1,0
James Ennis III,31,LAC,SF,2,0,28,26.3,0.784,0.364,0.364,7.8,11,9.5,0,1.7,3,7.3,21.6,0.1,0,0.2,0.277,3.7,0.3,4,0
James Ennis III,31,DEN,SF,3,0,14,3.7,0.311,0.333,0.167,8.2,7.7,8,29.8,0,0,13.4,23.3,0,0,0,-0.134,-7.2,-4,-11.1,0
D.J. Wilson,25,TOR,PF,4,1,54,27.9,0.773,0.133,0.667,1.9,31.8,16.1,14.6,4.6,1.8,9.3,17,0.2,0.1,0.4,0.328,1.8,3.2,5,0.1
Myles Powell,24,PHI,PG,11,0,52,0.2,0.364,0.353,0.118,2.2,10.6,6.4,8,1,0,14.4,18,-0.2,0,-0.1,-0.109,-10.5,-2.2,-12.7,-0.1
Mason Jones,23,LAL,SG,4,0,51,17.8,0.625,0.267,1,2.1,18.9,10.5,10.9,1.9,0,4.4,19,0.2,0,0.2,0.201,-1.2,0.3,-0.9,0
Tremont Waters,24,2TM,PG,3,0,50,5.4,0.357,0.643,0,0,9.2,4.3,18.2,5,0,22.2,15.5,-0.1,0.1,0,-0.042,-7.8,0.1,-7.7,-0.1
Tremont Waters,24,TOR,PG,2,0,42,5.1,0.333,0.75,0,0,10.9,5.2,21.7,4.8,0,25,16.3,-0.1,0.1,-0.1,-0.061,-7.5,-0.6,-8.1,-0.1
Tremont Waters,24,WAS,PG,1,0,8,7.3,0.5,0,0,0,0,0,0,6.2,0,0,11.1,0,0,0,0.058,-9.4,4,-5.4,0
Cameron McGriff,24,POR,SF,3,0,46,12.5,0.47,0.429,0.143,13.8,22.3,17.9,9.4,0,2.1,0,14,0.1,0,0.1,0.097,-1,-3,-4,0
Miye Oni,24,UTA,SG,16,0,44,0.4,0.265,0.889,0.111,2.6,14.4,8.7,14.2,0,0,9.6,10.3,-0.1,0,0,-0.032,-7.6,-0.3,-7.9,-0.1
Gabriel Lundberg,27,PHO,SG,4,0,44,7.7,0.342,0.421,0,5,11.9,8.5,31.5,3.3,0,13.6,21.5,-0.1,0.1,0,-0.005,-5.3,0.5,-4.8,0
Vernon Carey Jr.,20,2TM,C,7,1,44,15.8,0.534,0,1,19.9,9.8,14.8,0,2.2,1.9,13.8,21.6,0,0,0.1,0.068,-3,-4.5,-7.5,-0.1
Vernon Carey Jr.,20,CHO,C,4,1,17,17.2,0.546,0,0.5,18.4,12.6,15.6,0,2.8,0,12,20.8,0,0,0,0.099,-2.8,-5.2,-8,0
Vernon Carey Jr.,20,WAS,C,3,0,27,15,0.526,0,1.429,20.8,8.1,14.4,0,1.8,3.1,14.9,22.1,0,0,0,0.049,-3.2,-4.1,-7.3,0
