Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Myles Turner,23,62,62,29.5,4.3,9.5,0.457,1.4,4,0.344,2.9,5.4,0.54,0.53,2,2.7,0.751,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7,12.1
Jerami Grant,25,71,24,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.9,5.4,0.537,0.555,2.1,2.8,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12
Brook Lopez,31,68,67,26.7,4.3,9.9,0.435,1.5,4.8,0.314,2.8,5.1,0.549,0.511,1.9,2.2,0.836,0.9,3.7,4.6,1.5,0.7,2.4,1,2.4,12
Tristan Thompson,28,57,51,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12
Reggie Jackson,29,31,16,24,4.3,10.5,0.411,1.8,4.7,0.393,2.5,5.8,0.425,0.498,1.5,1.7,0.833,0.5,2.4,3,4.1,0.4,0.2,1.6,1.9,11.9
Reggie Jackson,29,14,10,27.2,5.4,14.1,0.384,2.2,5.9,0.378,3.2,8.3,0.388,0.462,1.9,2.4,0.788,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9
Reggie Jackson,29,17,6,21.3,3.4,7.5,0.453,1.5,3.7,0.413,1.9,3.8,0.492,0.555,1.1,1.2,0.905,0.4,2.6,3,3.2,0.3,0.2,1.6,2.2,9.5
Al Horford,33,67,61,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4,0.8,0.9,1.2,2.1,11.9
Jonathan Isaac,22,34,32,28.8,4.6,9.8,0.47,0.9,2.8,0.34,3.6,7,0.521,0.518,1.8,2.3,0.779,1.7,5.1,6.8,1.4,1.6,2.3,1.4,2.4,11.9
Otto Porter Jr.,26,14,9,23.6,4.4,10,0.443,1.7,4.4,0.387,2.7,5.6,0.487,0.529,1.4,1.9,0.704,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,11.9
Lonzo Ball,22,63,54,32.1,4.4,10.9,0.403,2.3,6.3,0.375,2,4.6,0.442,0.511,0.7,1.2,0.566,1.1,5,6.1,7,1.4,0.6,3.1,2,11.8
Glenn Robinson III,26,62,52,28.8,4.6,9.5,0.486,1.2,3.2,0.391,3.4,6.4,0.534,0.552,1.2,1.4,0.86,1.3,3,4.4,1.5,0.9,0.3,0.9,1.6,11.7
Glenn Robinson III,26,48,48,31.6,5.1,10.6,0.481,1.4,3.5,0.4,3.7,7,0.522,0.548,1.3,1.5,0.851,1.4,3.3,4.7,1.8,0.9,0.3,1,1.7,12.9
Glenn Robinson III,26,14,4,19.3,3.1,6.1,0.518,0.6,1.9,0.333,2.5,4.1,0.603,0.571,0.8,0.9,0.917,1.1,2.1,3.1,0.8,0.6,0.1,0.4,1.3,7.7
Patty Mills,31,66,1,22.5,3.9,9.1,0.431,2.3,6.1,0.382,1.6,3,0.533,0.56,1.5,1.7,0.866,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
Paul Millsap,34,51,48,24.3,4.1,8.6,0.482,1.1,2.4,0.435,3.1,6.2,0.5,0.543,2.3,2.8,0.816,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6
Jordan McRae,28,37,4,21.2,4,9.9,0.407,1.2,3.4,0.357,2.8,6.5,0.433,0.469,2.2,2.9,0.761,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2,11.5
Jordan McRae,28,29,4,22.6,4.6,10.9,0.42,1.4,3.7,0.377,3.2,7.3,0.441,0.483,2.2,2.9,0.771,0.6,3,3.6,2.8,0.7,0.5,1.3,2.1,12.8
Jordan McRae,28,4,0,8,0.5,1.5,0.333,0.5,1,0.5,0,0.5,0,0.5,0.8,1,0.75,0.3,1,1.3,1,0.5,0.3,0,0.5,2.3
Jordan McRae,28,4,0,24.5,3.5,10.8,0.326,0.8,4,0.188,2.8,6.8,0.407,0.36,4,5.5,0.727,0,3.8,3.8,1.8,0,0,1.3,2.5,11.8
Aron Baynes,33,42,28,22.2,4.4,9.1,0.48,1.4,4,0.351,3,5.1,0.582,0.558,1.3,1.8,0.747,1.7,4,5.6,1.6,0.2,0.5,1.2,3.4,11.5
Nemanja Bjelica,31,72,67,27.9,4.4,9.1,0.481,1.9,4.4,0.419,2.5,4.6,0.541,0.583,1,1.2,0.821,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3,11.5
Wendell Carter Jr.,20,43,43,29.2,4.3,8,0.534,0.1,0.7,0.207,4.1,7.3,0.564,0.542,2.6,3.5,0.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3
Derrick White,25,68,20,24.7,3.7,8.1,0.458,1.2,3.2,0.366,2.6,4.9,0.518,0.53,2.6,3.1,0.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
Justise Winslow,23,11,5,32,4.5,11.7,0.388,0.5,2.5,0.222,4,9.3,0.431,0.411,1.6,2.5,0.667,1.5,5.2,6.6,4,0.6,0.5,2.2,3.5,11.3
Malik Beasley,23,55,14,22,4.1,9.7,0.425,1.9,5,0.388,2.2,4.7,0.465,0.525,1,1.2,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1,1.4,11.2
Malik Beasley,23,41,0,18.2,2.9,7.3,0.389,1.4,3.9,0.36,1.4,3.4,0.421,0.485,0.8,0.9,0.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
Malik Beasley,23,14,14,33.1,7.9,16.6,0.472,3.5,8.2,0.426,4.4,8.4,0.517,0.577,1.5,2,0.75,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
Bryn Forbes,26,63,62,25.1,3.8,9.2,0.417,2.3,6,0.388,1.5,3.2,0.47,0.544,1.2,1.4,0.833,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2
Dion Waiters,28,10,0,20.7,4.1,9.9,0.414,1.5,4.7,0.319,2.6,5.2,0.5,0.49,1.4,1.7,0.824,0.2,2.2,2.4,2,0.4,0.6,1.6,2.1,11.1
Dion Waiters,28,3,0,14,3.3,8.7,0.385,2.7,5.7,0.471,0.7,3,0.222,0.538,0,0.3,0,0,3.7,3.7,1,0,0.7,1,1.7,9.3
Dion Waiters,28,7,0,23.6,4.4,10.4,0.425,1,4.3,0.233,3.4,6.1,0.558,0.473,2,2.3,0.875,0.3,1.6,1.9,2.4,0.6,0.6,1.9,2.3,11.9
Jarrett Allen,21,70,64,26.5,4.3,6.6,0.649,0,0.1,0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
Cody Zeller,27,58,39,23.1,4.3,8.3,0.524,0.3,1.3,0.24,4,7,0.577,0.543,2.1,3.1,0.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1
