,Player,Year,WS_pred
163,Brice Sensabaugh,2026,1.9781806
164,Bogdan Bogdanović,2026,1.5355787
165,Jordan Hawkins,2026,-0.9565082
166,Brandon Boston Jr.,2026,0.8854032
167,Nikola Jović,2026,2.3250675
168,Grayson Allen,2026,3.1730044
169,Keon Johnson,2026,1.2913247
170,Terry Rozier,2026,0.13837877
171,Obi Toppin,2026,4.6277747
172,Jonas Valančiūnas,2026,5.568059
173,Ochai Agbaji,2026,2.5192113
174,Jaylen Wells,2026,2.7390277
175,Grant Williams,2026,0.7141271
176,Kevin Porter Jr.,2026,2.7675068
177,Jose Alvarado,2026,1.9435333
178,Nic Claxton,2026,4.5286593
179,Herbert Jones,2026,0.376503
180,De'Anthony Melton,2026,0.07012615
181,Isaiah Joe,2026,4.3400283
182,Tyus Jones,2026,4.1839786
183,Trendon Watford,2026,0.8425693
184,Keion Brooks Jr.,2026,0.3493311
185,Luguentz Dort,2026,4.364858
186,Justin Edwards,2026,0.5039126
187,Derrick Jones Jr.,2026,4.023502
188,Ausar Thompson,2026,3.9568703
189,Chris Boucher,2026,2.558087
190,Andrew Nembhard,2026,2.3890228
191,Ziaire Williams,2026,2.0836344
192,Kevin Huerter,2026,2.42848
193,Georges Niang,2026,1.8309727
194,Julian Champagnie,2026,3.09757
195,Scotty Pippen Jr.,2026,5.95892
196,Nick Smith Jr.,2026,-0.37411103
197,Bub Carrington,2026,-0.64546806
198,Moses Moody,2026,3.5388288
199,Amir Coffey,2026,2.9365797
200,Max Christie,2026,2.711454
201,Kyle Filipowski,2026,2.6027648
202,Tosan Evbuomwan,2026,0.55469227
203,Miles McBride,2026,3.2519617
204,Jalen Wilson,2026,0.5313193
205,Nickeil Alexander-Walker,2026,3.973991
206,Cole Anthony,2026,3.0520666
207,Anthony Black,2026,2.8836129
208,Max Strus,2026,3.1592247
209,Tristan Vukcevic,2026,1.0631111
210,Cam Whitmore,2026,1.6695788
211,Nick Richards,2026,2.4334812
212,Kel'el Ware,2026,3.8297787
213,Zach Edey,2026,4.3651056
214,Wendell Carter Jr.,2026,3.235302
215,Noah Clowney,2026,0.5635221
216,Dalton Knecht,2026,2.487504
217,A.J. Lawson,2026,0.6487351
218,T.J. McConnell,2026,3.5996199
219,Yves Missi,2026,2.6698637
220,Royce O'Neale,2026,3.8463323
221,Jared Butler,2026,2.3584163
222,Marcus Smart,2026,0.9793501
223,Draymond Green,2026,4.547083
224,Killian Hayes,2026,0.44357342
225,Al Horford,2026,3.5688627
226,Julian Strawther,2026,-0.03983985
227,Patrick Williams,2026,0.38377798
228,Jusuf Nurkić,2026,2.2309086
229,Clint Capela,2026,3.1854665
230,Johnny Juzang,2026,1.3182328
231,Luke Kennard,2026,3.8574445
232,Justin Champagnie,2026,3.0295727
233,Svi Mykhailiuk,2026,0.3965117
234,Chris Paul,2026,6.1323433
235,Kelly Olynyk,2026,1.9106956
236,Dorian Finney-Smith,2026,2.7838757
237,Oshae Brissett,2026,0.10967481
238,Kentavious Caldwell-Pope,2026,3.760047
239,Isaiah Collier,2026,0.33940572
240,Dante Exum,2026,0.5154564
241,Kyshawn George,2026,0.8337785
242,Jaden Hardy,2026,0.1521926
243,Dereck Lively II,2026,3.464053
244,Tyrese Martin,2026,1.527422
245,Matas Buzelis,2026,2.5816193
246,Jaime Jaquez Jr.,2026,2.4592235
247,Ja'Kobe Walter,2026,0.9982816
248,Sam Hauser,2026,3.610302
249,Larry Nance Jr.,2026,1.2923906
250,Jared Rhoden,2026,0.41382548
251,Jaylen Nowell,2026,0.12545897
252,Cason Wallace,2026,4.259754
253,Bruce Brown,2026,1.0566281
254,Dalano Banton,2026,2.2679625
255,Brandon Clarke,2026,3.8090246
256,Keon Ellis,2026,5.3694882
257,Brandon Williams,2026,1.2423325
258,Mike Conley,2026,4.7912664
259,Taurean Prince,2026,3.1139376
260,Jalen Smith,2026,3.5161402
261,Quinten Post,2026,1.5717059
262,Peyton Watson,2026,2.8943646
263,Davion Mitchell,2026,2.602858
264,Caleb Martin,2026,0.910873
265,Tyson Etienne,2026,0.08293481
266,Day'Ron Sharpe,2026,3.1759133
267,KJ Simpson,2026,-0.09072278
268,Terance Mann,2026,2.2369335
269,Karlo Matković,2026,1.4520354
270,AJ Johnson,2026,-0.21839891
271,Lonzo Ball,2026,1.7744718
272,Oscar Tshiebwe,2026,0.5435743
273,Garrison Mathews,2026,1.247078
274,Matisse Thybulle,2026,1.2936256
275,A.J. Green,2026,2.0985944
276,Josh Green,2026,1.6976447
277,Richaun Holmes,2026,1.6312855
278,Damion Baugh,2026,-0.29734302
279,Alec Burks,2026,1.6741872
280,Ricky Council IV,2026,0.85060966
281,Andre Drummond,2026,2.4198148
282,Tre Jones,2026,2.2310083
283,Goga Bitadze,2026,5.7967453
284,Tristan Da Silva,2026,2.177274
285,GG Jackson II,2026,-0.08980855
286,Vit Krejci,2026,2.7811532
287,Sam Merrill,2026,2.8773243
288,Daeqwon Plowden,2026,0.13116445
289,Nae'Qwan Tomlin,2026,0.14743601
290,Josh Okogie,2026,1.5674073
291,Jalen Hood-Schifino,2026,-0.026479976
292,Jamison Battle,2026,1.1107767
293,Alex Caruso,2026,3.469647
294,Jamal Shead,2026,0.69860244
295,Jeff Dowtin,2026,1.18606
296,Marcus Garrett,2026,0.13946213
297,Isaiah Jackson,2026,0.37777984
298,Jaylen Sims,2026,0.09891918
299,Orlando Robinson,2026,1.0441548
300,Jake LaRavia,2026,3.1717565
301,Ryan Dunn,2026,0.9102656
302,Jay Huff,2026,3.0401726
303,Cameron Payne,2026,2.613104
304,Antonio Reeves,2026,0.4608215
305,Cody Martin,2026,1.8379033
306,Bol Bol,2026,1.127818
307,Eric Gordon,2026,1.2124453
308,Jaxson Hayes,2026,2.9408376
309,Marcus Bagley,2026,0.43037212
310,DaQuan Jeffries,2026,0.4034696
311,Lester Quiñones,2026,-0.04985836
312,Vasilije Micić,2026,-0.5831475
313,Precious Achiuwa,2026,2.2153876
314,Trayce Jackson-Davis,2026,3.6612825
315,Marcus Sasser,2026,1.9340751
316,Vince Williams Jr.,2026,0.2865796
317,Thomas Bryant,2026,2.9961293
318,Donovan Clingan,2026,4.415525
319,Seth Curry,2026,1.9078494
320,Haywood Highsmith,2026,2.9190667
321,Talen Horton-Tucker,2026,1.1414115
322,Trey Lyles,2026,2.5813813
323,Ajay Mitchell,2026,0.8710543
324,Gary Payton II,2026,2.76705
325,Zach Collins,2026,3.0192187
326,Kris Dunn,2026,3.9496496
327,Ron Holland,2026,1.6500096
328,KJ Martin,2026,0.758496
329,Gabe Vincent,2026,0.81874067
330,Sandro Mamukelashvili,2026,2.8988802
331,Jeremiah Robinson-Earl,2026,2.024691
332,Kenrich Williams,2026,2.6305845
333,Bones Hyland,2026,0.7915007
334,Jonathan Mogbo,2026,2.1579096
335,Ryan Rollins,2026,2.017094
336,Dru Smith,2026,0.8721552
337,Isaac Okoro,2026,2.0199544
338,Jarace Walker,2026,2.496046
339,N'Faly Dante,2026,0.4310104
340,Mouhamed Gueye,2026,1.4914927
341,Luke Kornet,2026,5.3495655
342,Isaiah Mobley,2026,0.2914177
343,Isaiah Stewart,2026,4.031934
344,James Wiseman,2026,0.08979469
345,Isaiah Wong,2026,0.151819
346,Cole Swider,2026,-0.11361273
347,Chuma Okeke,2026,0.6058845
348,Kyle Anderson,2026,2.8157747
349,Simone Fontecchio,2026,1.6018622
350,Collin Gillespie,2026,1.3947266
351,Tidjane Salaün,2026,-0.018780991
352,Jaylin Williams,2026,2.7512355
353,Moses Brown,2026,0.35825065
354,Adem Bona,2026,1.7560412
355,Quenton Jackson,2026,0.7814889
356,Robert Williams,2026,1.0661153
357,Moussa Diabaté,2026,2.9374332
